	ensembl_id	gene_name
190	ENSG00000142615	CELA2A
191	ENSG00000215704	CELA2B
192	ENSG00000132906	CASP9
193	ENSG00000116138	DNAJC16
194	ENSG00000116771	AGMAT
195	ENSG00000197312	DDI2
196	ENSG00000215695	RSC1A1
197	ENSG00000116786	PLEKHM2
198	ENSG00000162461	SLC25A34
199	ENSG00000162460	TMEM82
200	ENSG00000162458	FBLIM1
201	ENSG00000233954	UQCRHL
202	ENSG00000065526	SPEN
203	ENSG00000116809	ZBTB17
204	ENSG00000183888	SRARP
205	ENSG00000173641	HSPB7
206	ENSG00000186510	CLCNKA
207	ENSG00000184908	CLCNKB
208	ENSG00000185519	FAM131C
209	ENSG00000142627	EPHA2
210	ENSG00000142632	ARHGEF19
211	ENSG00000132881	CPLANE2
212	ENSG00000037637	FBXO42
213	ENSG00000055070	SZRD1
214	ENSG00000187144	SPATA21
215	ENSG00000157191	NECAP2
216	ENSG00000219481	NBPF1
217	ENSG00000058453	CROCC
218	ENSG00000117122	MFAP2
219	ENSG00000159363	ATP13A2
220	ENSG00000117118	SDHB
221	ENSG00000117115	PADI2
222	ENSG00000142623	PADI1
223	ENSG00000142619	PADI3
224	ENSG00000159339	PADI4
225	ENSG00000276747	PADI6
226	ENSG00000179051	RCC2
227	ENSG00000074964	ARHGEF10L
228	ENSG00000117148	ACTL8
229	ENSG00000117154	IGSF21
230	ENSG00000179023	KLHDC7A
231	ENSG00000009709	PAX7
232	ENSG00000159423	ALDH4A1
233	ENSG00000169991	IFFO2
234	ENSG00000127481	UBR4
235	ENSG00000127463	EMC1
236	ENSG00000053372	MRTO4
237	ENSG00000162482	AKR7A3
238	ENSG00000053371	AKR7A2
239	ENSG00000040487	SLC66A1
240	ENSG00000077549	CAPZB
241	ENSG00000173436	MICOS10
242	ENSG00000158747	NBL1
243	ENSG00000158748	HTR6
244	ENSG00000162542	TMCO4
245	ENSG00000178828	RNF186
246	ENSG00000169914	OTUD3
247	ENSG00000188784	PLA2G2E
248	ENSG00000188257	PLA2G2A
249	ENSG00000127472	PLA2G5
250	ENSG00000117215	PLA2G2D
251	ENSG00000158786	PLA2G2F
252	ENSG00000187980	PLA2G2C
253	ENSG00000162543	UBXN10
254	ENSG00000158816	VWA5B1
255	ENSG00000162545	CAMK2N1
256	ENSG00000090432	MUL1
257	ENSG00000183114	FAM43B
258	ENSG00000158825	CDA
259	ENSG00000158828	PINK1
260	ENSG00000244038	DDOST
261	ENSG00000117245	KIF17
262	ENSG00000189410	SH2D5
263	ENSG00000127483	HP1BP3
264	ENSG00000075151	EIF4G3
265	ENSG00000117298	ECE1
266	ENSG00000142794	NBPF3
267	ENSG00000162551	ALPL
268	ENSG00000076864	RAP1GAP
269	ENSG00000090686	USP48
270	ENSG00000187942	LDLRAD2
271	ENSG00000142798	HSPG2
272	ENSG00000219073	CELA3B
273	ENSG00000142789	CELA3A
274	ENSG00000070831	CDC42
275	ENSG00000162552	WNT4
276	ENSG00000184677	ZBTB40
277	ENSG00000070886	EPHA8
278	ENSG00000173372	C1QA
279	ENSG00000159189	C1QC
280	ENSG00000173369	C1QB
281	ENSG00000133216	EPHB2
282	ENSG00000227868	TEX46
283	ENSG00000004487	KDM1A
284	ENSG00000169641	LUZP1
285	ENSG00000179546	HTR1D
286	ENSG00000125944	HNRNPR
287	ENSG00000125945	ZNF436
288	ENSG00000204219	TCEA3
289	ENSG00000088280	ASAP3
290	ENSG00000007968	E2F2
291	ENSG00000117318	ID3
292	ENSG00000142676	RPL11
293	ENSG00000011007	ELOA
294	ENSG00000057757	PITHD1
295	ENSG00000011009	LYPLA2
296	ENSG00000117308	GALE
297	ENSG00000117305	HMGCL
298	ENSG00000179163	FUCA1
299	ENSG00000188822	CNR2
300	ENSG00000189266	PNRC2
301	ENSG00000188529	SRSF10
302	ENSG00000142661	MYOM3
303	ENSG00000142677	IL22RA1
304	ENSG00000185436	IFNLR1
